,year,month,djia_monthly_mean,yearmonth_str
555,1943,04,345.83,1943-04
556,1943,05,358.48,1943-05
557,1943,06,378.03,1943-06
558,1943,07,396.55,1943-07
559,1943,08,410.3,1943-08
560,1943,09,414.12,1943-09
561,1943,10,423.62,1943-10
562,1943,11,451.1,1943-11
563,1943,12,459.69,1943-12
564,1944,01,467.25,1944-01
565,1944,02,469.13,1944-02
566,1944,03,483.77,1944-03
567,1944,04,472.45,1944-04
568,1944,05,504.97,1944-05
569,1944,06,504.24,1944-06
570,1944,07,485.85,1944-07
571,1944,08,514.51,1944-08
572,1944,09,495.21,1944-09
573,1944,10,485.71,1944-10
574,1944,11,485.81,1944-11
575,1944,12,478.35,1944-12
576,1945,01,471.5,1945-01
577,1945,02,489.93,1945-02
578,1945,03,504.53,1945-03
579,1945,04,511.0,1945-04
580,1945,05,479.98,1945-05
581,1945,06,445.21,1945-06
582,1945,07,438.26,1945-07
583,1945,08,443.11,1945-08
584,1945,09,445.77,1945-09
585,1945,10,448.14,1945-10
586,1945,11,463.22,1945-11
587,1945,12,482.37,1945-12
588,1946,01,509.3,1946-01
589,1946,02,533.17,1946-02
590,1946,03,553.06,1946-03
591,1946,04,579.61,1946-04
592,1946,05,594.34,1946-05
593,1946,06,610.1,1946-06
594,1946,07,630.36,1946-07
595,1946,08,640.83,1946-08
596,1946,09,662.44,1946-09
597,1946,10,637.41,1946-10
598,1946,11,641.79,1946-11
599,1946,12,670.98,1946-12
600,1947,01,633.78,1947-01
601,1947,02,616.54,1947-02
602,1947,03,616.26,1947-03
603,1947,04,638.86,1947-04
604,1947,05,622.63,1947-05
605,1947,06,613.93,1947-06
606,1947,07,584.63,1947-07
607,1947,08,606.55,1947-08
608,1947,09,633.95,1947-09
609,1947,10,661.76,1947-10
610,1947,11,683.73,1947-11
611,1947,12,694.87,1947-12
612,1948,01,693.48,1948-01
613,1948,02,719.43,1948-02
614,1948,03,702.31,1948-03
615,1948,04,726.78,1948-04
616,1948,05,712.06,1948-05
617,1948,06,711.83,1948-06
618,1948,07,700.78,1948-07
619,1948,08,632.59,1948-08
620,1948,09,570.18,1948-09
621,1948,10,600.48,1948-10
622,1948,11,589.8,1948-11
623,1948,12,617.09,1948-12
624,1949,01,656.91,1949-01
625,1949,02,679.03,1949-02
626,1949,03,684.35,1949-03
627,1949,04,718.37,1949-04
